Draw Date,b1,b2,b3,b4,b5,b6,Jackpot,Outcome,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
Friday 5 May 2023,2,20,24,29,43,20,"R23,096,431.75",Roll,23.6,24.0,13.305637902783918,2,43,41,118,138,3,3,3,3,1,False
Tuesday 2 May 2023,13,16,17,41,43,18,"R17,302,876.34",Roll,26.0,17.0,13.145341380123988,13,43,30,130,148,1,5,3,3,1,True
Friday 28 April 2023,20,21,28,35,44,11,"R13,653,630.18",Roll,29.6,28.0,9.00222194794152,20,44,24,148,159,3,3,2,4,0,True
Tuesday 25 April 2023,10,12,13,23,47,16,"R8,706,714.14",Roll,21.0,13.0,13.754999091239519,10,47,37,105,121,2,4,4,2,0,True
Friday 21 April 2023,2,3,6,12,49,10,"R4,272,897",Roll,14.4,6.0,17.647662734764623,2,49,47,72,82,3,3,4,2,1,True
Tuesday 18 April 2023,3,5,8,15,25,16,"R8,693,189.40",Won,11.2,8.0,8.009993757800315,3,25,22,56,72,1,5,5,1,1,False
Friday 14 April 2023,16,20,33,37,44,16,"R4,640,403.64",Roll,30.0,33.0,10.488088481701515,16,44,28,150,166,3,3,2,4,0,False
Tuesday 11 April 2023,4,30,38,43,49,19,"R33,670,044.67",Won,32.8,38.0,15.68948692596415,4,49,45,164,183,3,3,1,5,0,False
Friday 7 April 2023,9,15,21,22,26,13,"R29,301,316.96",Roll,18.6,21.0,5.9531504264548865,9,26,17,93,106,2,4,4,2,0,True
Tuesday 4 April 2023,15,18,29,33,35,12,"R24,914,798.96",Roll,26.0,29.0,8.049844718999243,15,35,20,130,142,1,5,2,4,1,False
Friday 31 March 2023,7,20,41,42,49,7,"R20,000,000",Roll,31.8,41.0,15.7403938959608,7,49,42,159,166,2,4,2,4,0,True
Tuesday 28 March 2023,10,22,27,42,49,19,"R12,906,053.34",Roll,30.0,27.0,13.98570698963767,10,49,39,150,169,3,3,2,4,2,False
Friday 24 March 2023,6,27,33,45,46,14,"R10,000,000",Roll,31.4,33.0,14.595889832415152,6,46,40,157,171,2,4,1,5,1,True
