Year,Date,Day,b1,b2,b3,b4,b5,b6,BonusBall,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
2016,30 July,Saturday,29,30,34,43,28,49,40,35.5,32.0,7.847504911329036,28,49,21,213,253,3,3,0,6,1,True
2016,27 July,Wednesday,28,19,2,40,22,45,1,26.0,25.0,14.153915830374764,2,45,43,156,157,4,2,3,3,1,False
2016,23 July,Saturday,16,38,36,24,5,41,4,26.666666666666668,30.0,12.98289472943363,5,41,36,160,164,4,2,3,3,0,False
2016,20 July,Wednesday,36,24,49,13,27,48,17,32.833333333333336,31.5,12.95397836788203,13,49,36,197,214,3,3,2,4,2,True
2016,16 July,Saturday,48,7,34,37,4,31,22,26.833333333333332,32.5,15.993922456844523,4,48,44,161,183,3,3,2,4,1,False
2016,13 July,Wednesday,4,39,47,11,45,32,25,29.666666666666668,35.5,16.50925666271972,4,47,43,178,203,2,4,2,4,1,False
2016,09 July,Saturday,12,40,21,16,34,15,23,23.0,18.5,10.392304845413264,12,40,28,138,161,4,2,4,2,0,True
2016,06 July,Wednesday,11,21,3,22,14,16,5,14.5,15.0,6.3966136874651625,3,22,19,87,92,3,3,6,0,2,True
2016,02 July,Saturday,40,33,24,3,4,23,37,21.166666666666668,23.5,13.728518573474059,3,40,37,127,164,3,3,4,2,1,True
2016,29 June,Wednesday,36,9,13,47,25,46,42,29.333333333333332,30.5,14.907119849998598,9,47,38,176,218,2,4,3,3,0,True
2016,25 June,Saturday,28,20,4,44,46,15,26,26.166666666666668,24.0,15.104267241044463,4,46,42,157,183,5,1,3,3,1,False
2016,22 June,Wednesday,42,17,35,19,36,7,32,26.0,27.0,12.436505404118419,7,42,35,156,188,2,4,3,3,0,True
2016,18 June,Saturday,15,6,35,49,3,28,12,22.666666666666668,21.5,16.316317667360558,3,49,46,136,148,2,4,3,3,1,False
2016,15 June,Wednesday,32,47,23,29,6,26,19,27.166666666666668,27.5,12.157530816557923,6,47,41,163,182,3,3,2,4,1,False
2016,11 June,Saturday,30,27,12,8,6,7,39,15.0,10.0,9.763879010584539,6,30,24,90,129,4,2,4,2,1,True
2016,08 June,Wednesday,48,45,4,1,25,27,19,25.0,26.0,18.027756377319946,1,48,47,150,169,2,4,3,3,1,False
2016,04 June,Saturday,1,17,27,42,26,11,16,20.666666666666668,21.5,13.02134998974974,1,42,41,124,140,2,4,3,3,2,True
2016,01 June,Wednesday,31,24,14,47,40,42,15,33.0,35.5,11.343133018115703,14,47,33,198,213,4,2,2,4,1,False
2016,28 May,Saturday,20,1,5,49,23,47,41,24.166666666666668,21.5,18.533003594188994,1,49,48,145,186,1,5,4,2,1,False
2016,25 May,Wednesday,4,48,12,44,13,20,43,23.5,16.5,16.610739497887103,4,48,44,141,184,5,1,4,2,1,True
2016,21 May,Saturday,44,41,1,30,14,10,46,23.333333333333332,22.0,16.05891929392787,1,44,43,140,186,4,2,3,3,1,False
2016,18 May,Wednesday,13,38,4,49,33,32,43,28.166666666666668,32.5,15.181311610734502,4,49,45,169,212,3,3,2,4,0,True
2016,14 May,Saturday,34,6,48,38,44,13,31,30.5,36.0,15.6178316890235,6,48,42,183,214,5,1,2,4,2,False
2016,11 May,Wednesday,40,8,41,44,10,14,47,26.166666666666668,27.0,15.646263309670957,8,44,36,157,204,5,1,3,3,1,True
2016,07 May,Saturday,3,30,45,36,2,19,12,22.5,24.5,16.11159003119597,2,45,43,135,147,3,3,3,3,0,True
2016,04 May,Wednesday,32,35,24,21,18,23,41,25.5,23.5,6.020797289396148,18,35,17,153,194,3,3,4,2,0,True
2016,30 April,Saturday,41,40,45,19,28,12,14,30.833333333333332,34.0,12.184917817622825,12,45,33,185,199,3,3,2,4,0,True
2016,27 April,Wednesday,8,3,26,1,39,14,16,15.166666666666666,11.0,13.45878482214828,1,39,38,91,107,3,3,4,2,0,False
2016,23 April,Saturday,8,18,1,26,31,33,32,19.5,22.0,11.786291472158096,1,33,32,117,149,3,3,3,3,3,False
2016,20 April,Wednesday,13,4,17,23,2,6,38,10.833333333333334,9.5,7.514800211730331,2,23,21,65,103,3,3,6,0,0,False
2016,16 April,Saturday,17,34,31,7,18,23,44,21.666666666666668,20.5,9.049247973665485,7,34,27,130,174,2,4,4,2,2,True
2016,13 April,Wednesday,18,2,7,11,20,38,40,16.0,14.5,11.590225767142474,2,38,36,96,136,4,2,5,1,2,False
2016,09 April,Saturday,13,30,27,31,17,25,4,23.833333333333332,26.0,6.64371047599825,13,31,18,143,147,1,5,3,3,0,True
2016,06 April,Wednesday,20,11,21,47,16,12,6,21.166666666666668,18.0,12.130081981952507,11,47,36,127,133,3,3,5,1,0,True
2016,02 April,Saturday,16,42,39,1,6,28,43,22.0,22.0,15.588457268119896,1,42,41,132,175,4,2,3,3,1,False
2016,30 March,Wednesday,34,38,10,5,22,39,32,24.666666666666668,28.0,13.412266359153806,5,39,34,148,180,4,2,3,3,1,True
2016,26 March,Saturday,31,41,17,27,1,23,9,23.333333333333332,25.0,12.405196043952264,1,41,40,140,149,0,6,3,3,0,False
2016,23 March,Wednesday,17,20,48,10,24,46,9,27.5,22.0,14.419315748906627,10,48,38,165,174,5,1,4,2,1,False
2016,19 March,Saturday,9,31,42,5,48,40,17,29.166666666666668,35.5,16.48652648545337,5,48,43,175,192,3,3,2,4,1,False
2016,16 March,Wednesday,37,32,46,30,47,15,40,34.5,34.5,10.812801055539063,15,47,32,207,247,3,3,1,5,0,True
2016,12 March,Saturday,26,4,15,22,39,30,6,22.666666666666668,24.0,11.100550536897808,4,39,35,136,142,4,2,3,3,2,False
2016,09 March,Wednesday,45,41,48,9,35,29,25,34.5,38.0,13.009611831257688,9,48,39,207,232,1,5,1,5,0,False
2016,05 March,Saturday,35,15,3,21,48,38,43,26.666666666666668,28.0,15.173075568988056,3,48,45,160,203,2,4,3,3,2,False
2016,02 March,Wednesday,18,36,23,27,37,30,14,28.5,28.5,6.751543033509698,18,37,19,171,185,3,3,2,4,0,True
2016,27 February,Saturday,43,44,47,35,14,2,6,30.833333333333332,39.0,16.905784677309583,2,47,45,185,191,3,3,2,4,0,True
2016,24 February,Wednesday,5,41,15,11,4,26,49,17.0,13.0,12.974333637352377,4,41,37,102,151,2,4,4,2,0,True
2016,20 February,Saturday,7,20,37,48,35,24,43,28.5,29.5,13.225606476327151,7,48,41,171,214,3,3,3,3,0,False
2016,17 February,Wednesday,19,25,16,14,6,40,22,20.0,17.5,10.598742063723098,6,40,34,120,142,4,2,5,1,0,False
2016,13 February,Saturday,21,30,31,4,37,17,39,23.333333333333332,25.5,10.873004286866726,4,37,33,140,179,2,4,3,3,0,True
2016,10 February,Wednesday,25,40,1,49,46,33,43,32.333333333333336,36.5,16.121069719124996,1,49,48,194,237,2,4,2,4,0,False
2016,06 February,Saturday,31,41,37,17,1,47,18,29.0,34.0,15.620499351813308,1,47,46,174,192,0,6,2,4,1,False
2016,03 February,Wednesday,49,32,9,18,20,6,26,22.333333333333332,19.0,14.56784892227477,6,49,43,134,160,4,2,4,2,0,False
2016,30 January,Saturday,35,23,27,9,16,5,15,19.166666666666668,19.5,10.334677331951664,5,35,30,115,130,1,5,4,2,1,False
2016,27 January,Wednesday,43,37,20,26,13,8,32,24.5,23.0,12.419742348374221,8,43,35,147,179,3,3,3,3,0,False
