Number,Frequency
18,257
15,242
16,241
20,240
17,228
19,223
12,206
13,199
11,197
14,190
10,186
43,185
35,184
9,183
31,182
36,180
42,179
40,177
37,176
24,176
38,175
34,174
41,173
44,171
22,169
28,169
29,168
21,167
7,167
32,165
45,163
26,161
8,159
30,158
39,157
23,156
25,150
33,148
27,146
6,142
5,135
3,121
4,117
2,95
49,89
48,80
46,79
47,73
1,72
50,70
